neighborhood,year_month,total_fire_count,count_fire_building,count_fire_electrical,count_fire_gas,count_fire_water,total_fire_injuries,avg_suppression_units
Japantown,2025-02,1,0,0,1,0,0,3.0
Japantown,2025-03,1,0,1,0,0,0,1.0
Japantown,2025-04,2,0,1,0,1,0,2.0
Japantown,2025-10,1,0,0,1,0,0,3.0
Lakeshore,2024-01,5,1,2,0,2,0,3.0
Lakeshore,2024-02,3,0,3,0,0,0,1.6666666666666667
Lakeshore,2024-03,2,0,0,0,2,0,2.0
Lakeshore,2024-04,2,0,0,1,1,0,1.0
Lakeshore,2024-05,4,0,0,1,3,0,1.5
Lakeshore,2024-06,2,1,0,0,1,0,4.5
Lakeshore,2024-07,1,1,0,0,0,0,3.0
Lakeshore,2024-08,1,0,0,0,1,0,1.0
Lakeshore,2024-09,3,1,0,1,1,0,4.333333333333333
Lakeshore,2024-10,1,0,1,0,0,0,1.0
Lakeshore,2024-11,5,0,0,3,2,0,1.8
Lakeshore,2024-12,1,1,0,0,0,0,9.0
Lakeshore,2025-03,3,0,0,1,2,0,1.3333333333333333
Lakeshore,2025-04,2,1,1,0,0,0,4.5
Lakeshore,2025-05,3,1,0,0,2,0,1.6666666666666667
Lakeshore,2025-06,1,0,0,1,0,0,1.0
Lakeshore,2025-07,5,1,1,0,3,0,2.6
Lakeshore,2025-08,4,2,0,1,1,0,4.5
Lakeshore,2025-09,1,0,1,0,0,0,1.0
Lakeshore,2025-10,2,1,0,0,1,0,7.0
Lakeshore,2025-11,2,1,0,0,1,0,5.0
Lakeshore,2025-12,5,1,1,2,1,0,3.6
Lincoln Park,2025-05,1,1,0,0,0,0,9.0
Lincoln Park,2025-06,1,0,1,0,0,0,1.0
Lone Mountain/USF,2024-01,8,2,2,2,2,0,3.125
Lone Mountain/USF,2024-02,2,0,2,0,0,0,1.0
Lone Mountain/USF,2024-03,4,0,1,2,1,0,2.0
Lone Mountain/USF,2024-04,1,0,0,0,1,0,3.0
Lone Mountain/USF,2024-05,5,0,2,2,1,0,3.2
Lone Mountain/USF,2024-06,4,0,3,1,0,0,1.5
Lone Mountain/USF,2024-07,1,0,0,1,0,0,2.0
Lone Mountain/USF,2024-08,8,0,5,3,0,0,3.5
Lone Mountain/USF,2024-09,3,1,1,0,1,0,4.333333333333333
Lone Mountain/USF,2024-10,2,0,1,0,1,0,1.5
Lone Mountain/USF,2024-11,6,1,1,2,2,0,3.1666666666666665
Lone Mountain/USF,2024-12,1,0,0,1,0,0,3.0
Lone Mountain/USF,2025-01,4,0,3,1,0,0,1.75
Lone Mountain/USF,2025-02,4,3,0,1,0,0,7.5
Lone Mountain/USF,2025-03,3,0,2,1,0,0,2.3333333333333335
Lone Mountain/USF,2025-04,2,0,0,1,1,0,2.0
Lone Mountain/USF,2025-05,2,1,0,1,0,0,6.0
Lone Mountain/USF,2025-06,4,1,2,1,0,0,2.0
Lone Mountain/USF,2025-07,4,1,1,2,0,0,4.0
Lone Mountain/USF,2025-08,3,0,0,0,3,0,1.0
Lone Mountain/USF,2025-09,1,1,0,0,0,0,11.0
Lone Mountain/USF,2025-10,3,0,1,2,0,0,2.3333333333333335
Lone Mountain/USF,2025-11,3,0,0,2,1,0,2.0
Lone Mountain/USF,2025-12,3,1,0,1,1,0,2.3333333333333335
Marina,2024-01,11,3,2,3,3,0,1.7272727272727273
Marina,2024-02,5,0,4,1,0,0,3.8
Marina,2024-03,6,0,0,2,4,0,1.6666666666666667
Marina,2024-04,3,0,0,1,2,0,2.0
Marina,2024-05,9,1,2,3,3,0,4.0
Marina,2024-06,6,0,2,1,3,0,3.1666666666666665
Marina,2024-07,8,0,0,4,4,0,2.0
Marina,2024-08,5,1,0,2,2,0,2.8
Marina,2024-09,6,0,2,2,2,0,1.0
Marina,2024-10,1,0,1,0,0,0,1.0
Marina,2024-11,6,0,2,2,2,0,2.0
Marina,2024-12,9,0,2,4,3,0,2.4444444444444446
Marina,2025-01,7,1,2,3,1,0,4.857142857142857
Marina,2025-02,3,1,1,0,1,0,3.3333333333333335
Marina,2025-03,8,1,1,2,4,0,2.875
Marina,2025-04,4,0,1,1,2,0,1.25
Marina,2025-05,3,0,2,1,0,0,1.6666666666666667
Marina,2025-06,7,2,2,0,3,0,1.7142857142857142
Marina,2025-07,4,0,1,1,2,0,1.5
Marina,2025-08,7,1,2,0,4,0,2.7142857142857144
Marina,2025-09,3,0,1,0,2,0,1.0
Marina,2025-10,10,2,3,1,4,4,5.0
Marina,2025-11,4,0,1,0,3,0,2.0
Marina,2025-12,5,2,0,0,3,0,4.6
McLaren Park,2024-03,1,0,1,0,0,0,2.0
McLaren Park,2024-05,1,0,0,0,1,0,1.0
McLaren Park,2024-07,1,1,0,0,0,0,1.0
McLaren Park,2024-08,2,1,0,1,0,0,7.0
McLaren Park,2024-09,1,0,0,0,1,0,3.0
McLaren Park,2025-02,2,0,2,0,0,0,1.0
McLaren Park,2025-05,1,0,1,0,0,0,1.0
McLaren Park,2025-08,1,0,0,0,1,0,1.0
McLaren Park,2025-09,1,0,0,1,0,0,3.0
Mission,2024-01,14,1,6,3,4,0,2.357142857142857
Mission,2024-02,19,2,8,3,6,0,1.736842105263158
Mission,2024-03,30,12,8,4,6,8,6.133333333333334
Mission,2024-04,14,4,5,4,1,0,3.2142857142857144
Mission,2024-05,15,3,4,3,5,0,3.3333333333333335
Mission,2024-06,16,1,6,5,4,0,2.0
Mission,2024-07,19,5,5,1,8,0,2.0526315789473686
Mission,2024-08,21,0,10,4,7,0,1.5238095238095237
Mission,2024-09,25,4,3,10,8,0,2.56
Mission,2024-10,18,2,8,3,5,0,2.6666666666666665
Mission,2024-11,23,2,10,2,9,0,2.4347826086956523
Mission,2024-12,35,5,15,10,5,0,2.2857142857142856
Mission,2025-01,26,1,7,8,10,0,2.0
Mission,2025-02,23,5,5,6,7,0,2.869565217391304
Mission,2025-03,17,4,5,4,4,0,3.0588235294117645
Mission,2025-04,12,4,1,2,5,0,3.0833333333333335
Mission,2025-05,17,4,6,4,3,0,4.0
Mission,2025-06,16,3,5,4,4,0,2.9375
Mission,2025-07,23,3,11,4,5,0,2.391304347826087
Mission,2025-08,17,2,6,1,8,0,2.0
Mission,2025-09,6,1,2,2,1,0,1.6666666666666667
Mission,2025-10,16,5,2,4,5,0,2.4375
Mission,2025-11,17,3,5,6,3,0,3.5294117647058822
Mission,2025-12,16,3,7,3,3,0,2.5625
Mission Bay,2024-01,2,0,0,0,2,0,1.5
Mission Bay,2024-02,2,0,0,1,1,0,2.0
Mission Bay,2024-03,4,0,1,2,1,0,2.5
Mission Bay,2024-04,3,1,0,0,2,0,2.3333333333333335
Mission Bay,2024-05,4,0,0,3,1,0,2.25
Mission Bay,2024-06,2,1,0,0,1,0,1.5
Mission Bay,2024-08,5,0,3,0,2,0,2.8
Mission Bay,2024-09,1,0,0,0,1,0,2.0
Mission Bay,2024-10,1,0,0,0,1,0,3.0
Mission Bay,2024-11,4,1,0,1,2,0,3.5
Mission Bay,2025-01,3,1,0,1,1,0,2.6666666666666665
Mission Bay,2025-02,3,1,1,0,1,0,2.6666666666666665
Mission Bay,2025-03,6,2,2,0,2,0,2.6666666666666665
Mission Bay,2025-04,1,0,0,1,0,0,1.0
Mission Bay,2025-05,2,0,1,1,0,0,2.0
Mission Bay,2025-06,5,2,0,1,2,0,2.0
Mission Bay,2025-07,1,1,0,0,0,1,8.0
Mission Bay,2025-09,1,0,0,1,0,0,1.0
Mission Bay,2025-10,2,1,0,0,1,0,4.5
Mission Bay,2025-11,2,1,0,0,1,0,5.0
Nob Hill,2024-01,3,0,0,2,1,0,2.0
Nob Hill,2024-02,6,1,2,1,2,0,4.5
Nob Hill,2024-03,6,2,1,1,2,0,1.3333333333333333
Nob Hill,2024-04,9,2,3,1,3,0,2.7777777777777777
Nob Hill,2024-05,9,4,0,3,2,0,4.888888888888889
Nob Hill,2024-06,7,2,0,1,4,0,3.4285714285714284
Nob Hill,2024-07,3,1,0,1,1,0,1.6666666666666667
Nob Hill,2024-08,7,0,3,1,3,0,1.2857142857142858
Nob Hill,2024-09,4,0,0,0,4,0,1.0
Nob Hill,2024-10,9,2,1,2,4,0,1.8888888888888888
Nob Hill,2024-11,3,1,0,1,1,0,1.6666666666666667
Nob Hill,2024-12,6,0,1,2,3,0,1.5
Nob Hill,2025-01,8,2,0,3,3,0,1.5
Nob Hill,2025-02,3,0,0,3,0,0,3.0
Nob Hill,2025-03,7,0,0,4,3,0,1.5714285714285714
Nob Hill,2025-04,4,0,0,3,1,0,2.5
Nob Hill,2025-05,11,2,0,2,7,0,2.909090909090909
Nob Hill,2025-06,8,1,1,4,2,0,2.875
Nob Hill,2025-07,3,1,1,1,0,0,4.333333333333333
Nob Hill,2025-08,8,0,0,5,3,0,2.375
Nob Hill,2025-09,4,2,0,0,2,0,5.25
Nob Hill,2025-10,6,1,0,2,3,0,3.5
Nob Hill,2025-11,3,0,0,1,2,0,1.6666666666666667
Nob Hill,2025-12,6,2,1,1,2,0,3.6666666666666665
Noe Valley,2024-01,8,1,3,3,1,0,3.125
Noe Valley,2024-02,13,1,7,2,3,0,1.8461538461538463
Noe Valley,2024-03,4,0,1,3,0,0,2.5
Noe Valley,2024-04,5,1,2,1,1,0,1.6
Noe Valley,2024-05,7,0,4,1,2,0,2.2857142857142856
Noe Valley,2024-06,8,1,6,1,0,0,2.25
Noe Valley,2024-07,5,0,2,2,1,0,1.6
Noe Valley,2024-08,9,2,2,2,3,0,3.2222222222222223
Noe Valley,2024-09,9,1,4,2,2,0,2.0
Noe Valley,2024-10,6,1,3,0,2,0,3.5
Noe Valley,2024-11,3,0,0,2,1,0,1.3333333333333333
Noe Valley,2024-12,5,1,2,2,0,0,3.6
Noe Valley,2025-01,5,1,1,2,1,0,2.8
Noe Valley,2025-02,6,0,4,1,1,0,1.3333333333333333
Noe Valley,2025-03,8,0,5,0,3,0,2.25
